,Account Name,Account Handle,Verified Account,Post Text,Post Grabbed Time,Author Name
0,Luis Rosales,ese_cholito,Not Verified,"Bad Bunny, Taylor Swift and MORE are taken off of TikTok due to UMG Media Group's SPAT with TIKTOK! It's pretty crazy but this reminds me that people should support independent artists!https://rumble.com/v4awuc9-umg-copyright-striking-tiktok-bad-bunny-taylor-swift-gone.html#truth#news#music#art#life",2024-02-02 17:04:06.252082,Luis Rosales@ese_cholito
2,Free_Talk,Free_Talk,Not Verified,"This swift is a nobody, why on earth do people even notice her, she has zero purpose to anyone with a brain.",2024-02-02 17:04:06.252082,Free_Talk@Free_Talk
4,Barbara Campbell,dogmama53,Not Verified,"Proof Taylor Swift is a psyopMarilyn@Jaizemthis is hilarious:https://twitter.com/i/status/175275714141107849012:14 PM · Jan 31, 2024",2024-02-02 17:04:06.252082,Barbara Campbell@dogmama53
6,Erich Brink,Indignatie,Not Verified,https://indignatie.nl/trump-bondgenoten-beloven-heilige-oorlog-tegen-taylor-swift/,2024-02-02 17:04:06.252082,Erich Brink@Indignatie
10,klsparrow,klsparrow,Not Verified,"Swift has not yet endorsed anyone in the 2024 presidential race/NYT No endorsement in 2016 either FACT CHECK: No a, Image Does Not Show Taylor Swift Wearing An Anti-Trump Shirthttps://www.axios.com/2024/01/30/taylor-swift-maga-biden-trump-2024https://checkyourfact.com/2024/01/24/fact-check-taylor-swift-anti-trump-shirt/",2024-02-02 17:04:06.252082,klsparrow@klsparrow
12,9 Thermidor,shawneng,Not Verified,"Radio Renaissance: ‘I Have a Dream’Jared Taylor and Paul Kersey mourn the fate of Harvard’s DEI chief — caught in the toils of plagiarism. They also discuss Ricky Cobb, Chris Rufo, syphilis, and Justin Slaughter.https://www.amren.com/podcasts/2024/02/i-have-a-dream",2024-02-02 17:04:06.252082,9 Thermidor@shawneng
14,lyfsavor,lyfsavor99,Not Verified,Is Taylor Swift a Psyop?https://www.youtube.com/watch?v=wlwHB_4wUvo,2024-02-02 17:04:06.252082,lyfsavor@lyfsavor99
16,BecauseWeLiveHere,BWLH,Not Verified,"Jared Taylor and Paul Kersey mourn the fate of Harvard’s DEI chief — caught in the toils of plagiarism. They also discuss Ricky Cobb, Chris Rufo, syphilis, and Justin Slaughter.https://www.amren.com/podcasts/2024/02/i-have-a-dream/",2024-02-02 17:04:06.252082,BecauseWeLiveHere@BWLH
18,BasedAF,VirtuallyMe,Not Verified,"Today's cover on the USA Today rag.Albeit she's a very pretty girl, Taylor Swift hasn't matured emotionally or as an artist since being ""discovered"" on MySpace.USA Today is nothing more than a leftists propaganda tool. -Same as the majority of newspapers.",2024-02-02 17:04:06.252082,BasedAF@VirtuallyMe
20,CCWAVES,CCWAVES,Not Verified,"TAYLOR SWIFT, YOUR EGGS ARE DRYING UP!!!! THIS WOULD MAKE A GREAT COUNTRY SONG !!!🟰",2024-02-02 17:04:06.252082,CCWAVES@CCWAVES
22,Wayne Dupree,WayneDupreeShow,Verified,Taylor Swift Reveals What an Elitist Snob She is With This Latest Stunthttps://washingtonengager.com/2024/02/taylor-swift-private-jet,2024-02-02 17:04:06.252082,Wayne DupreeVerified Account@WayneDupreeShow
24,Josef (TravisTaylor) Bosch,josefbosch,Not Verified,@josefboschYou've never researched MKUltra have you?That is a boy in every single photo but you can't see it because of your incredulity.,2024-02-02 17:04:06.252082,Josef (TravisTaylor) Bosch@josefbosch
26,The Renegade Hunter,JasonEDePue,Not Verified,@josefboschYou've never researched MKUltra have you?That is a boy in every single photo but you can't see it because of your incredulity.,2024-02-02 17:04:06.252082,The Renegade Hunter@JasonEDePue
28,Swampy,swampadelic,Not Verified,"I am introducing the Super Bowl Swiftee Drinking game. Every time the camera shows Taylor Swift in the skybox it means one shot of liquor. Every time they mention her name and Kelse's name it is another shot. If the Chiefs win, then we all take one shot of Tabasco (to get the taste out our mouths)",2024-02-02 17:04:06.252082,Swampy@swampadelic
